source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop,twitter_handle,twitter_id,twitter_screen_name,twitter_followers_count,twitter_friends_count
San Francisco Chronicle,Left,strongly agree,1448,1053,395,0.7272099447513812,sfchronicle,121597316,sfchronicle,247999,272
Raw Story,Left,strongly agree,1683,1168,515,0.6939988116458705,RawStory,16041234,RawStory,222256,3949
Rev. Jesse Jackson Sr.,Left,absolutely agree,661,534,127,0.8078668683812406,RevJJackson,80366372,RevJJackson,185977,12682
Current Affairs,Left,strongly agree,617,427,190,0.6920583468395461,curaffairs,4128420672,curaffairs,139067,349
AlterNet,Left,absolutely agree,13826,11449,2377,0.828077535078837,AlterNet,18851248,AlterNet,138003,15945
CNN (Opinion),Left,absolutely agree,34173,27848,6325,0.8149123577093027,CNNOpinion,259074538,CNNOpinion,100008,436
PoliticusUSA,Left,strongly agree,1468,1093,375,0.7445504087193461,politicususa,14792049,politicususa,78948,3823
Ryan Cooper,Left,absolutely agree,637,514,123,0.8069073783359497,ryanlcooper,214120461,ryanlcooper,59700,2421
Socialist Alternative,Left,strongly agree,726,503,223,0.6928374655647382,SocialistAlt,392893830,SocialistAlt,26786,2796
Americans for Democratic Action,Left,strongly agree,1085,770,315,0.7096774193548387,ADAction,17964900,ADAction,1410,917
